,TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
3,Templos,Catedral Anglicana de Madrid,CALLE BENEFICENCIA 18.0,TemplosOtrasReligiones,40.42635538209311,-3.6986664775671785
17,Templos,Community Church of Madrid,CALLE VIÑA 3.0,TemplosOtrasReligiones,40.444012178441184,-3.7186194926544474
23,Templos,Comunidad Cristiana Maranatha,CALLE GRANADA 8.0,TemplosOtrasReligiones,40.40503855717772,-3.680089467002736
27,Templos,Comunidad Evangélica de habla alemana,PASEO CASTELLANA 6.0,TemplosOtrasReligiones,40.42721250117197,-3.689422328230453
32,Templos,Iglesia Anglicana de San Jorge,CALLE NUÑEZ DE BALBOA 43.0,TemplosOtrasReligiones,40.42669852639718,-3.68277143067568
47,Templos,Iglesia Carismática Episcopal de España,CALLE BENEFICENCIA 18.0,TemplosOtrasReligiones,40.42635120982088,-3.698682579292043
48,Templos,Iglesia Catedral del Redentor,CALLE BENEFICENCIA 18.0,TemplosOtrasReligiones,40.42635120982088,-3.698682579292043
58,Templos,Iglesia Cristiana Adventista,CALLE ALENZA 6.0,TemplosOtrasReligiones,40.443575443757055,-3.700489559324882
62,Templos,Iglesia Cristiana Adventista del Séptimo Día. Madrid Alenza,CALLE ALENZA 6.0,TemplosOtrasReligiones,40.44356545097694,-3.700499826685844
81,Templos,Iglesia Cristiana Corazón de León,CALLE CARRETAS 14.0,TemplosOtrasReligiones,40.41498820459974,-3.703424906084702
96,Templos,Iglesia Cristiana Roca Eterna,PASEO DELICIAS 28.0,TemplosOtrasReligiones,40.404866930326506,-3.6936814974298464
100,Templos,Iglesia Cruzada Cristiana Misión Vidaa,PASEO MOLINO 13.0,TemplosOtrasReligiones,40.39022542586447,-3.6930580638077504
103,Templos,"Iglesia Cuerpo de Cristo, Don Pedro",CALLE DON PEDRO 10.0,TemplosOtrasReligiones,40.41164356061595,-3.712768007180476
113,Templos,Iglesia de los Discípulos de Cristo,CALLE PEDRO HEREDIA 3.0,TemplosOtrasReligiones,40.428382776615685,-3.666094420916804
117,Templos,Iglesia de Scientology de España,CALLE SANTA CATALINA 7.0,TemplosOtrasReligiones,40.41545025955645,-3.6977486316222152
123,Templos,Iglesia Ejército de Salvación Madrid,CALLE HERMOSILLA 126.0,TemplosOtrasReligiones,40.42545230198005,-3.6678581814924502
132,Templos,Iglesia Evangélica,CALLE CALATRAVA 25.0,TemplosOtrasReligiones,40.40923676813966,-3.7120737849312566
136,Templos,Iglesia Evangélica Arca de Salvación,CALLE EUGENIO SELLES 1.0,TemplosOtrasReligiones,40.39580823279452,-3.698617401031242
152,Templos,Iglesia Evangélica Casa de Oración,CALLE LONDRES 13.0,TemplosOtrasReligiones,40.43146112930494,-3.6694502641980313
162,Templos,Iglesia Evangélica Duque de Sesto,CALLE DUQUE DE SESTO 6.0,TemplosOtrasReligiones,40.42251907359688,-3.6782871144773264
177,Templos,Iglesia Evangélica Filadelfia calle Oso 19,CALLE OSO 19.0,TemplosOtrasReligiones,40.409453044063135,-3.705244023077552
179,Templos,Iglesia Evangélica Filadelfia del Centro,CALLE RODRIGO DE GUEVARA 2.0,TemplosOtrasReligiones,40.40931307515139,-3.708921690567309
202,Templos,Iglesia evangélica Fundación Federico Fliedner,CALLE BRAVO MURILLO 85.0,TemplosOtrasReligiones,40.44493824188452,-3.70421024880097
203,Templos,Iglesia Evangélica Gran Rey,CALLE MAESTRO ARBOS 5.0,TemplosOtrasReligiones,40.39016257946341,-3.694838317655381
207,Templos,Iglesia Evangélica La Roca,PASEO DELICIAS 28.0,TemplosOtrasReligiones,40.404866930326506,-3.6936814974298464
215,Templos,Iglesia Evangélica Noviciado 5,CALLE NOVICIADO 5.0,TemplosOtrasReligiones,40.425585219802336,-3.708110408802556
218,Templos,Iglesia Evangélica Pentecostal Amistad Cristiana,CALLE VALLEHERMOSO 70.0,TemplosOtrasReligiones,40.4372567427889,-3.708286842692643
227,Templos,Iglesia Evangélica Trafalgar,CALLE TRAFALGAR 32.0,TemplosOtrasReligiones,40.43371124396547,-3.701241599331296
242,Templos,Iglesia Misionera Pentecostal de Cristo,CALLE BENEFICENCIA 18.0,TemplosOtrasReligiones,40.42635120982088,-3.698682579292043
255,Templos,Iglesia Vida Apasionada,CALLE REYES MAGOS 8.0,TemplosOtrasReligiones,40.41156966174721,-3.674760030213652
257,Templos,Iglesia Vidapasionada,AVENIDA MENENDEZ PELAYO 36.0,TemplosOtrasReligiones,40.40543708181372,-3.68037479130131
266,Templos,Primera Iglesia Evangélica Bautista de Madrid,CALLE GENERAL LACY 18.0,TemplosOtrasReligiones,40.40358689819789,-3.690928534913438
276,Templos,Testigos Cristianos de Jehová. Calle Doctor Gómez Ulla,CALLE DOCTOR GÓMEZ ULLA 16.0,TemplosOtrasReligiones,40.4299768268144,-3.667513892714285
286,Templos,Testigos Cristianos de Jehová. Calle Martín de Vargas,CALLE MARTIN DE VARGAS 26.0,TemplosOtrasReligiones,40.40244073010048,-3.701734952593744
